date,D_days,tau,n_strikes,alpha,rho,nu,vol_rmse
2023-02-02,1,0.0027397260273972603,55,0.20765526750196586,-0.14029029886186356,17.870874656519042,0.06701958681411195
2023-02-02,4,0.010958904109589041,34,0.1450495635490352,0.22969659233173864,6.866512654295578,0.02560591922526755
2023-02-02,5,0.0136986301369863,40,0.15420077122909917,0.24853204169552603,5.450789159888238,0.024382582769208287
2023-02-02,6,0.01643835616438356,44,0.1629066896652923,0.2863579956899443,3.9452590161766024,0.016564380699285383
2023-02-02,7,0.019178082191780823,50,0.1612231127912414,0.211051178648761,4.107845940544578,0.01896531882133276
2023-02-02,8,0.021917808219178082,69,0.14954819755700474,0.06881755209406383,4.704797085512823,0.02031263584234123
2023-02-02,11,0.030136986301369864,56,0.14631807094330512,0.1916868071527604,3.032399127409825,0.013004019833169978
2023-02-02,12,0.03287671232876712,63,0.167867603633415,0.19631513010568927,2.7590420755221037,0.016847939244580033
2023-02-02,13,0.03561643835616438,64,0.17103962834443415,0.22528212668184217,1.9165915147303763,0.013815226453116456
2023-02-02,14,0.038356164383561646,71,0.17306487535861434,0.07440222234464607,2.239490506587814,0.013118101726751378
2023-02-02,15,0.0410958904109589,352,0.13315696971934954,-0.16555794868730908,4.387348254310724,0.03204890151799902
2023-02-02,19,0.052054794520547946,66,0.156279233919962,0.032013395682747144,1.985911008883974,0.011451806425550352
2023-02-02,20,0.0547945205479452,77,0.15747551108085567,-0.08098662269332434,1.6920923696164274,0.009248728688434526
2023-02-02,21,0.057534246575342465,63,0.15290803634246186,-0.21387071171617006,2.432265418175111,0.006400063839931209
2023-02-02,22,0.06027397260273973,113,0.15565430031274424,-0.1315425278654953,2.0827827985578433,0.011895751007209295
2023-02-02,25,0.0684931506849315,86,0.15247947180940855,-0.11622601797622659,1.7336135502318826,0.010698433014947297
2023-02-02,26,0.07123287671232877,157,0.14478787525961023,-0.23089183708066133,1.8631042023876077,0.011544289992511385
2023-02-02,27,0.07397260273972603,44,0.15117275563023927,-0.26915322516923823,1.7875081784567686,0.008086144962545921
2023-02-02,28,0.07671232876712329,48,0.15359249789399304,-0.26659609367550174,1.884839269847209,0.008680642333414692
2023-02-02,29,0.07945205479452055,117,0.15389904259266884,-0.31138420094631375,1.7778003367597193,0.009578988021985585
2023-02-02,32,0.08767123287671233,88,0.14879748049795316,-0.2947003469948966,1.86968707196799,0.006852650184556203
2023-02-02,36,0.09863013698630137,82,0.15664486008499975,-0.39441093353746165,1.7414450943618651,0.009512170028858893
2023-02-02,43,0.1178082191780822,502,0.14883941964958153,-0.28947818775055084,2.1341694820762043,0.01924408107351158
2023-02-02,50,0.136986301369863,65,0.17117208320885144,-0.5055119263262667,1.4312345901355197,0.009125371854769602
2023-02-02,57,0.15616438356164383,285,0.1645033721518191,-0.45183957822000836,1.5357961057414395,0.014573310145145063
